statut,etude,ville,region,courriel,telephone,notaires_connus,segment,source,source_url,date_source,canal,e1_envoye,e2_envoye,e3_envoye,entrevue_date,h1_plages_vides,h2_bascule_x,h3_reaction,reaction_75_25,h4_decideur,h5_logiciel,h6_refus_art46,references,cohorte,notes
brouillon_pret,Tourigny Desjardins notaires,Trois-Rivières,Mauricie,tdnotaires@notarius.net,819-374-8722,Étienne Tourigny; Sophie Mercier-Desjardins; Sarah-Claude Quessy; Mélyka Carignan; Maxym Bourassa; Andréane Quessy,jeunes_notaires,site_etude,https://www.tdnotaires.com/,2026-09-01,courriel,,,,,,,,,,,,,,Étude qui se décrit comme jeune et dynamique — 6 notaires. Cible prioritaire.
a_contacter,Landry & Fabi notaires,Longueuil,Montérégie,,514-431-0125,Cynthia Fabi (admise 2016); Olivier Landry (admis 2016),jeunes_notaires,site_etude,https://lfnotaires.com/,2026-09-01,formulaire,,,,,,,,,,,,,,Formulaire seulement — pas de courriel publié. Les deux notaires ont 10 ans de pratique : plein coeur de l'AJNQ. Approche LinkedIn recommandée.
brouillon_pret,Horizon Notaires,Sherbrooke,Estrie,info@horizonnotaires.com,819-300-1617,Philippe Couture,jeunes_notaires,site_etude,https://horizonnotaires.com/,2026-09-01,courriel,,,,,,,,,,,,,,"Étude récente, un seul notaire — profil à plages ouvertes."
brouillon_pret,Me Stéphanie Racicot notaire,Sherbrooke,Estrie,stephanieracicot@notarius.net,819-564-0063,Stéphanie Racicot,solo,site_etude,https://stephanieracicotnotaire.ca/,2026-09-01,courriel,,,,,,,,,,,,,,Pratique solo. H4 : la technicienne juridique tient probablement l'agenda.
brouillon_pret,Me Gaétane Baril notaire,Québec (Lebourgneuf),Capitale-Nationale,reception@notairebaril.qc.ca,418-871-4195,Gaétane Baril,phase1_quebec,site_etude,https://www.gaetanebaril-notaire.ca/,2026-09-01,courriel,,,,,,,,,,,,,,"Dessert Charlesbourg, Beauport, Sainte-Foy, Cap-Rouge, Lévis."
brouillon_pret,Tardif April Marchand Jodoin (TAMJ),Longueuil,Montérégie,ljodoin@tamj-notaires.com,,Linda Jodoin; Julie Normandeau,etabli,site_etude,https://notairesrivesud.ca/,2026-09-01,courriel,,,,,,,,,,,,,,Étude établie depuis ~50 ans. Second courriel : jnormandeau@tamj-notaires.com
brouillon_pret,Réseau Notaires (siège),Montréal (LaSalle),Montréal,info@reseaunotaires.ca,514-826-6561,,reseau,site_etude,https://www.reseaunotaires.ca/nous-joindre/,2026-09-01,courriel,,,,,,,,,,,,,,"Réseau multi-bureaux : Laval, Québec, Rosemère + secondaires. Bureaux : laval@reseaunotaires.ca, longueuil@reseaunotaires.ca. Un oui central ouvre plusieurs bureaux."
brouillon_pret,Me Ping Zhang notaire,Montréal,Montréal,ping.zhang@montrealnotary.ca,514-747-2425,Ping Zhang,solo,site_etude,https://montrealnotary.ca/contactez-nous/,2026-09-01,courriel,,,,,,,,,,,,,,"Dessert Montréal, Laval, Longueuil."
brouillon_pret,PME INTER Notaires — siège social,Montréal,Montréal,info@pmeinter.com,514-874-0455,,reseau,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,PRIORITÉ RÉSEAU : 24 études membres à travers le Québec. Un oui au siège vaut 24 portes. Approcher le siège AVANT les études individuelles.
brouillon_pret,Boulanger Dolan Denault,Montmagny,Chaudière-Appalaches,info@pmenotaires.com,418-248-1414,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Corbeil Simard Savoie Massicotte,Rouyn-Noranda,Abitibi-Témiscamingue,vcarrier@bonendroit.ca,819-762-5519,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Durocher Dauphinais Julien,Drummondville,Centre-du-Québec,adurocher@ddjnotaires.com,819-474-4488,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Gagné Isabelle Patry Laflamme & Associés,Gatineau,Outaouais,info@pmegatineau.ca,819-771-3231,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Gérin Pomerleau Notaires,Magog,Estrie,notaires@gpcnotaires.com,819-843-3793,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Hanna & Bonneau notaires,Shawinigan,Mauricie,pmeintershawinigan@gbmnotaires.com,819-539-6992,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Lagrange Provencher Notaires,Lévis,Chaudière-Appalaches,info@lpnotaires.com,418-836-5429,,phase1_quebec,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,Lévis = RMR de Québec. Cible phase 1.
brouillon_pret,Laporte & Associés Notaires,Berthierville,Lanaudière,madly.laporte@notarius.net,450-836-3796,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Les Notaires Ménard & Paquette,Bedford,Montérégie,mylene.paquette@notairesmp.com,450-248-3379,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,LRV Notaires,Terrebonne,Lanaudière,info@lrvnotaires.com,450-432-4134,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,LSPO Notaires,Montréal (Saint-Laurent),Montréal,info@lsponotaires.com,514-954-1432,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Marcoux Gariépy & Associés,Québec (Beauport),Capitale-Nationale,notairesconseils@notarius.net,418-666-0226,,phase1_quebec,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,Cible phase 1.
